         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
mean CN of NN Ni,           CN-Pt,  exp neg strain,  0.2575,  0.2506,  0.0028,  0.8145, -1.2082,  0.0028,  0.8916, -1.2760
mean CN of NN Ni,  exp neg strain,           CN-Pt,  0.1867,  0.1830,  0.0284,  0.1295, -1.3297,  0.0285,  0.1276, -1.3148
          CN-Pt,  exp neg strain, mean CN of NN Ni,  0.1802,  0.1759,  0.1336,  0.0266, -1.3378,  0.1323,  0.0267, -1.3262
mean CN of NN Ni,           CN-Pt,          strain,  0.2617,  0.2555,  0.0029,  0.0000, -0.4046,  0.0029,  0.0000, -0.3972
mean CN of NN Ni,          strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9046
          CN-Pt,          strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,           CN-Pt,  inverse strain,  0.2617,  0.2555,  0.0029,  0.0000, -0.4045,  0.0029,  0.0000, -0.3972
mean CN of NN Ni,  inverse strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
          CN-Pt,  inverse strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,  exp neg strain,          strain,  0.2733,  0.2669,  0.0116,  0.0000, -0.3652,  0.0124,  0.0000, -0.3614
mean CN of NN Ni,          strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2534,  0.0408,  1.1933, -1.4650
 exp neg strain,          strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,  exp neg strain,  inverse strain,  0.2733,  0.2669,  0.0116,  0.0000, -0.3652,  0.0124,  0.0000, -0.3614
mean CN of NN Ni,  inverse strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0000,  1.0491, -1.3214
 exp neg strain,  inverse strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,          strain,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
mean CN of NN Ni,  inverse strain,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
         strain,  inverse strain, mean CN of NN Ni,  0.2742,  0.2678,  1.0189,  0.0108, -1.3789,  1.0186,  0.0116, -1.3750
rms CN of NN Ni, sub surface Ni num,             BOO,  0.2554,  0.2505,  0.0131,  0.1589, -0.5149,  0.0129,  0.0985, -0.4486
rms CN of NN Ni,             BOO, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,             BOO, rms CN of NN Ni,  0.2570,  0.2518,  0.1546,  0.0000, -0.3640,  0.1522,  0.0000, -0.3549
rms CN of NN Ni, sub surface Ni num,  Pt bond length,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,  Pt bond length, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,  Pt bond length, rms CN of NN Ni,  0.2575,  0.2523,  0.0522,  0.0000, -0.3634,  0.0515,  0.0000, -0.3543
rms CN of NN Ni, sub surface Ni num,    surface curv,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,    surface curv, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,    surface curv, rms CN of NN Ni,  0.2735,  0.2671,  1.2812,  0.0089, -0.3577,  1.2328,  0.0098, -0.3543
rms CN of NN Ni, sub surface Ni num,      chemSROP11,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0034, -0.3560
rms CN of NN Ni,      chemSROP11, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0001,  0.1428, -0.3549
sub surface Ni num,      chemSROP11, rms CN of NN Ni,  0.2742,  0.2679,  0.0689,  0.0106, -0.3593,  0.0328,  0.0114, -0.3559
rms CN of NN Ni, sub surface Ni num,      chemSROP12,  0.2557,  0.2506,  0.0131,  0.0283, -0.3660,  0.0129,  0.0557, -0.3573
rms CN of NN Ni,      chemSROP12, sub surface Ni num,  0.2571,  0.2518,  0.0014,  0.1446, -0.3641,  0.0075,  0.1432, -0.3552
sub surface Ni num,      chemSROP12, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni, sub surface Ni num,      chemSROP22,  0.2557,  0.2506,  0.0131,  0.0149, -0.3663,  0.0129,  0.0207, -0.3572
rms CN of NN Ni,      chemSROP22, sub surface Ni num,  0.2571,  0.2518,  0.0010,  0.1448, -0.3642,  0.0023,  0.1433, -0.3553
sub surface Ni num,      chemSROP22, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni, sub surface Ni num,       gCN-Ni-Ni,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,       gCN-Ni-Ni, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,       gCN-Ni-Ni, rms CN of NN Ni,  0.2679,  0.2627,  0.0560,  0.0062, -0.3554,  0.0500,  0.0076, -0.3525
rms CN of NN Ni, sub surface Ni num,       gCN-Ni-Pt,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,       gCN-Ni-Pt, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,       gCN-Ni-Pt, rms CN of NN Ni,  0.2632,  0.2579,  0.0663,  0.0020, -0.3513,  0.0622,  0.0033, -0.3485
rms CN of NN Ni, sub surface Ni num,       gCN-Pt-Ni,  0.2475,  0.2417,  0.0098,  0.1475, -0.4711,  0.0097,  0.1499, -0.4651
rms CN of NN Ni,       gCN-Pt-Ni, sub surface Ni num,  0.2550,  0.2494,  0.0067,  0.1091, -0.3905,  0.0071,  0.1054, -0.3839
sub surface Ni num,       gCN-Pt-Ni, rms CN of NN Ni,  0.2535,  0.2484,  0.1265,  0.0000, -0.3630,  0.1263,  0.0000, -0.3543
rms CN of NN Ni, sub surface Ni num,       gCN-Pt-Pt,  0.1815,  0.1825,  0.0212,  0.1239, -0.9547,  0.0207,  0.1197, -0.9285
rms CN of NN Ni,       gCN-Pt-Pt, sub surface Ni num,  0.2511,  0.2457,  0.0028,  0.1063, -0.4136,  0.0028,  0.1033, -0.4049
sub surface Ni num,       gCN-Pt-Pt, rms CN of NN Ni,  0.2459,  0.2406,  0.0506,  0.0000, -0.3797,  0.0496,  0.0000, -0.3714
rms CN of NN Ni, sub surface Ni num,        gCN-Ni-X,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,        gCN-Ni-X, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,        gCN-Ni-X, rms CN of NN Ni,  0.2646,  0.2596,  0.0344,  0.0034, -0.3527,  0.0313,  0.0049, -0.3500
rms CN of NN Ni, sub surface Ni num,        gCN-Pt-X,  0.1564,  0.1570,  0.0193,  0.1411, -1.1379,  0.0190,  0.1384, -1.1187
rms CN of NN Ni,        gCN-Pt-X, sub surface Ni num,  0.2513,  0.2458,  0.0024,  0.1001, -0.4147,  0.0024,  0.0971, -0.4065
sub surface Ni num,        gCN-Pt-X, rms CN of NN Ni,  0.2459,  0.2407,  0.0385,  0.0000, -0.3805,  0.0379,  0.0000, -0.3720
rms CN of NN Ni, sub surface Ni num,           CN-Pt,  0.1674,  0.1670,  0.0185,  0.1188, -1.1828,  0.0182,  0.1167, -1.1637
rms CN of NN Ni,           CN-Pt, sub surface Ni num,  0.2532,  0.2475,  0.0016,  0.1052, -0.4067,  0.0016,  0.1012, -0.3994
sub surface Ni num,           CN-Pt, rms CN of NN Ni,  0.2477,  0.2425,  0.0290,  0.0000, -0.3782,  0.0285,  0.0000, -0.3695
rms CN of NN Ni, sub surface Ni num,  exp neg strain,  0.2525,  0.2465,  0.0124,  0.7137, -1.0702,  0.0122,  0.8149, -1.1604
rms CN of NN Ni,  exp neg strain, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,  exp neg strain, rms CN of NN Ni,  0.2565,  0.2511,  0.1449,  0.0000, -0.3646,  0.1438,  0.0000, -0.3556
rms CN of NN Ni, sub surface Ni num,          strain,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,          strain, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,          strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni, sub surface Ni num,  inverse strain,  0.2557,  0.2507,  0.0130,  0.0000, -0.3652,  0.0128,  0.0000, -0.3560
rms CN of NN Ni,  inverse strain, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,  inverse strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,             BOO,  Pt bond length,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0122,  0.0000, -0.3555
rms CN of NN Ni,  Pt bond length,             BOO,  0.2743,  0.2681,  0.0039,  0.2089, -0.5559,  0.0041,  0.1747, -0.5195
            BOO,  Pt bond length, rms CN of NN Ni,  0.2743,  0.2679,  0.0079,  0.0107, -0.3804,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,             BOO,    surface curv,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0122,  0.0000, -0.3555
rms CN of NN Ni,    surface curv,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3626
            BOO,    surface curv, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,             BOO,      chemSROP11,  0.2742,  0.2677,  0.0114,  0.0492, -0.3587,  0.0123,  0.0618, -0.3553
rms CN of NN Ni,      chemSROP11,             BOO,  0.2794,  0.2740,  0.0047,  0.1164, -0.3997,  0.0052,  0.0903, -0.3656
            BOO,      chemSROP11, rms CN of NN Ni,  0.2743,  0.2678,  0.0476,  0.0106, -0.3592,  0.0630,  0.0115, -0.3556
rms CN of NN Ni,             BOO,      chemSROP12,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0123,  0.0300, -0.3566
rms CN of NN Ni,      chemSROP12,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0026,  0.0853, -0.3611
            BOO,      chemSROP12, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0349,  0.0116, -0.3572
rms CN of NN Ni,             BOO,      chemSROP22,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0122,  0.0001, -0.3555
rms CN of NN Ni,      chemSROP22,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3626
            BOO,      chemSROP22, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0012,  0.0115, -0.3560
rms CN of NN Ni,             BOO,       gCN-Ni-Ni,  0.2728,  0.2666,  0.0081,  0.0624, -0.3602,  0.0093,  0.0572, -0.3567
rms CN of NN Ni,       gCN-Ni-Ni,             BOO,  0.2717,  0.2667,  0.0122,  0.2986, -0.6140,  0.0120,  0.2486, -0.5566
            BOO,       gCN-Ni-Ni, rms CN of NN Ni,  0.2730,  0.2669,  0.0704,  0.0073, -0.3588,  0.0628,  0.0085, -0.3554
rms CN of NN Ni,             BOO,       gCN-Ni-Pt,  0.2736,  0.2673,  0.0065,  0.0437, -0.3609,  0.0080,  0.0385, -0.3575
rms CN of NN Ni,       gCN-Ni-Pt,             BOO,  0.2700,  0.2641,  0.0099,  0.2420, -0.5911,  0.0100,  0.2179, -0.5615
            BOO,       gCN-Ni-Pt, rms CN of NN Ni,  0.2736,  0.2673,  0.0500,  0.0056, -0.3603,  0.0457,  0.0069, -0.3567
rms CN of NN Ni,             BOO,       gCN-Pt-Ni,  0.2595,  0.2537,  0.0011,  0.2132, -0.4766,  0.0022,  0.2055, -0.4692
rms CN of NN Ni,       gCN-Pt-Ni,             BOO,  0.2617,  0.2563,  0.0156,  0.3119, -0.6877,  0.0154,  0.2445, -0.6151
            BOO,       gCN-Pt-Ni, rms CN of NN Ni,  0.2590,  0.2535,  0.2338,  0.0007, -0.4786,  0.2230,  0.0018, -0.4694
rms CN of NN Ni,             BOO,       gCN-Pt-Pt,  0.2125,  0.2096,  0.0311,  0.1264, -1.0317,  0.0308,  0.1226, -1.0083
rms CN of NN Ni,       gCN-Pt-Pt,             BOO,  0.2609,  0.2551,  0.0046,  0.1205, -0.5144,  0.0045,  0.0648, -0.4536
            BOO,       gCN-Pt-Pt, rms CN of NN Ni,  0.2153,  0.2133,  0.1239,  0.0306, -1.0038,  0.1187,  0.0300, -0.9731
rms CN of NN Ni,             BOO,        gCN-Ni-X,  0.2730,  0.2667,  0.0059,  0.0337, -0.3612,  0.0073,  0.0304, -0.3577
rms CN of NN Ni,        gCN-Ni-X,             BOO,  0.2692,  0.2637,  0.0064,  0.2950, -0.6379,  0.0065,  0.2583, -0.5951
            BOO,        gCN-Ni-X, rms CN of NN Ni,  0.2730,  0.2669,  0.0394,  0.0048, -0.3597,  0.0356,  0.0062, -0.3562
rms CN of NN Ni,             BOO,        gCN-Pt-X,  0.1902,  0.1882,  0.0267,  0.1420, -1.1932,  0.0264,  0.1383, -1.1684
rms CN of NN Ni,        gCN-Pt-X,             BOO,  0.2591,  0.2535,  0.0039,  0.1691, -0.5698,  0.0038,  0.1075, -0.5030
            BOO,        gCN-Pt-X, rms CN of NN Ni,  0.1991,  0.1979,  0.1327,  0.0263, -1.1174,  0.1277,  0.0258, -1.0849
rms CN of NN Ni,             BOO,           CN-Pt,  0.1945,  0.1912,  0.0270,  0.1238, -1.2723,  0.0269,  0.1214, -1.2525
rms CN of NN Ni,           CN-Pt,             BOO,  0.2613,  0.2554,  0.0029,  0.1821, -0.5769,  0.0029,  0.1253, -0.5156
            BOO,           CN-Pt, rms CN of NN Ni,  0.2042,  0.2020,  0.1131,  0.0263, -1.1691,  0.1093,  0.0259, -1.1383
rms CN of NN Ni,             BOO,  exp neg strain,  0.2697,  0.2625,  0.0101,  0.8730, -1.2184,  0.0110,  0.9449, -1.2852
rms CN of NN Ni,  exp neg strain,             BOO,  0.2728,  0.2665,  0.0120,  0.2300, -0.5846,  0.0127,  0.1976, -0.5496
            BOO,  exp neg strain, rms CN of NN Ni,  0.2711,  0.2647,  0.4656,  0.0111, -0.7969,  0.4637,  0.0118, -0.7903
rms CN of NN Ni,             BOO,          strain,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0122,  0.0000, -0.3555
rms CN of NN Ni,          strain,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0876, -0.3632
            BOO,          strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,             BOO,  inverse strain,  0.2743,  0.2678,  0.0113,  0.0000, -0.3589,  0.0122,  0.0000, -0.3555
rms CN of NN Ni,  inverse strain,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3626
            BOO,  inverse strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,  Pt bond length,    surface curv,  0.2748,  0.2684,  0.0037,  0.0000, -0.3563,  0.0040,  0.0000, -0.3528
rms CN of NN Ni,    surface curv,  Pt bond length,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
 Pt bond length,    surface curv, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,  Pt bond length,      chemSROP11,  0.2747,  0.2683,  0.0037,  0.0456, -0.3560,  0.0040,  0.0593, -0.3526
rms CN of NN Ni,      chemSROP11,  Pt bond length,  0.2795,  0.2741,  0.0043,  0.0000, -0.2903,  0.0050,  0.0000, -0.2807
 Pt bond length,      chemSROP11, rms CN of NN Ni,  0.2743,  0.2678,  0.0164,  0.0106, -0.3592,  0.0212,  0.0115, -0.3556
rms CN of NN Ni,  Pt bond length,      chemSROP12,  0.2748,  0.2684,  0.0037,  0.0000, -0.3563,  0.0040,  0.0301, -0.3540
rms CN of NN Ni,      chemSROP12,  Pt bond length,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0030,  0.0000, -0.2809
 Pt bond length,      chemSROP12, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0117,  0.0116, -0.3572
rms CN of NN Ni,  Pt bond length,      chemSROP22,  0.2748,  0.2684,  0.0037,  0.0000, -0.3563,  0.0040,  0.0001, -0.3529
rms CN of NN Ni,      chemSROP22,  Pt bond length,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
 Pt bond length,      chemSROP22, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0004,  0.0115, -0.3560
rms CN of NN Ni,  Pt bond length,       gCN-Ni-Ni,  0.2733,  0.2673,  0.0025,  0.0645, -0.3560,  0.0029,  0.0590, -0.3526
rms CN of NN Ni,       gCN-Ni-Ni,  Pt bond length,  0.2728,  0.2675,  0.0112,  0.0000, -0.3297,  0.0112,  0.0000, -0.3201
 Pt bond length,       gCN-Ni-Ni, rms CN of NN Ni,  0.2732,  0.2670,  0.0208,  0.0076, -0.3590,  0.0187,  0.0088, -0.3556
rms CN of NN Ni,  Pt bond length,       gCN-Ni-Pt,  0.2739,  0.2677,  0.0017,  0.0515, -0.3574,  0.0022,  0.0464, -0.3539
rms CN of NN Ni,       gCN-Ni-Pt,  Pt bond length,  0.2707,  0.2647,  0.0095,  0.0000, -0.3607,  0.0097,  0.0000, -0.3540
 Pt bond length,       gCN-Ni-Pt, rms CN of NN Ni,  0.2739,  0.2676,  0.0134,  0.0067, -0.3602,  0.0116,  0.0080, -0.3566
rms CN of NN Ni,  Pt bond length,       gCN-Pt-Ni,  0.2596,  0.2538,  0.0000,  0.2185, -0.4745,  0.0004,  0.2111, -0.4671
rms CN of NN Ni,       gCN-Pt-Ni,  Pt bond length,  0.2629,  0.2571,  0.0149,  0.0000, -0.3901,  0.0149,  0.0000, -0.3824
 Pt bond length,       gCN-Pt-Ni, rms CN of NN Ni,  0.2608,  0.2549,  0.0752,  0.0010, -0.4713,  0.0725,  0.0020, -0.4644
rms CN of NN Ni,  Pt bond length,       gCN-Pt-Pt,  0.2094,  0.2064,  0.0113,  0.1327, -1.0739,  0.0113,  0.1293, -1.0530
rms CN of NN Ni,       gCN-Pt-Pt,  Pt bond length,  0.2611,  0.2552,  0.0045,  0.0000, -0.4011,  0.0045,  0.0000, -0.3928
 Pt bond length,       gCN-Pt-Pt, rms CN of NN Ni,  0.2119,  0.2091,  0.0467,  0.0316, -1.0608,  0.0454,  0.0314, -1.0388
rms CN of NN Ni,  Pt bond length,        gCN-Ni-X,  0.2733,  0.2672,  0.0015,  0.0376, -0.3570,  0.0020,  0.0342, -0.3535
rms CN of NN Ni,        gCN-Ni-X,  Pt bond length,  0.2702,  0.2645,  0.0060,  0.0000, -0.3563,  0.0061,  0.0000, -0.3486
 Pt bond length,        gCN-Ni-X, rms CN of NN Ni,  0.2733,  0.2672,  0.0111,  0.0058, -0.3599,  0.0099,  0.0071, -0.3563
rms CN of NN Ni,  Pt bond length,        gCN-Pt-X,  0.1875,  0.1852,  0.0096,  0.1464, -1.2267,  0.0096,  0.1432, -1.2054
rms CN of NN Ni,        gCN-Pt-X,  Pt bond length,  0.2595,  0.2536,  0.0039,  0.0000, -0.4101,  0.0038,  0.0000, -0.4017
 Pt bond length,        gCN-Pt-X, rms CN of NN Ni,  0.1925,  0.1902,  0.0512,  0.0270, -1.2044,  0.0499,  0.0269, -1.1823
rms CN of NN Ni,  Pt bond length,           CN-Pt,  0.1919,  0.1883,  0.0097,  0.1276, -1.3083,  0.0097,  0.1256, -1.2922
rms CN of NN Ni,           CN-Pt,  Pt bond length,  0.2618,  0.2556,  0.0029,  0.0000, -0.4047,  0.0029,  0.0000, -0.3974
 Pt bond length,           CN-Pt, rms CN of NN Ni,  0.1977,  0.1943,  0.0442,  0.0272, -1.2759,  0.0434,  0.0272, -1.2578
rms CN of NN Ni,  Pt bond length,  exp neg strain,  0.2699,  0.2629,  0.0034,  0.8974, -1.2415,  0.0036,  0.9671, -1.3057
rms CN of NN Ni,  exp neg strain,  Pt bond length,  0.2734,  0.2670,  0.0115,  0.0000, -0.3646,  0.0123,  0.0000, -0.3609
 Pt bond length,  exp neg strain, rms CN of NN Ni,  0.2695,  0.2625,  0.6592,  0.0093, -2.1560,  0.7074,  0.0101, -2.2827
rms CN of NN Ni,  Pt bond length,          strain,  0.2748,  0.2684,  0.0037,  0.0000, -0.3563,  0.0040,  0.0000, -0.3528
rms CN of NN Ni,          strain,  Pt bond length,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
 Pt bond length,          strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,  Pt bond length,  inverse strain,  0.2748,  0.2684,  0.0037,  0.0000, -0.3563,  0.0040,  0.0000, -0.3528
rms CN of NN Ni,  inverse strain,  Pt bond length,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
 Pt bond length,  inverse strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,      chemSROP11,  0.2795,  0.2741,  0.0000,  0.0466, -0.2902,  0.0000,  0.0585, -0.2806
rms CN of NN Ni,      chemSROP11,    surface curv,  0.2795,  0.2741,  0.0043,  0.0000, -0.2903,  0.0050,  0.0000, -0.2807
   surface curv,      chemSROP11, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0665,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,      chemSROP12,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
rms CN of NN Ni,      chemSROP12,    surface curv,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0030,  0.0000, -0.2809
   surface curv,      chemSROP12, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,      chemSROP22,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
rms CN of NN Ni,      chemSROP22,    surface curv,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
   surface curv,      chemSROP22, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,       gCN-Ni-Ni,  0.2749,  0.2695,  0.0000,  0.0991, -0.3235,  0.0000,  0.1011, -0.3143
rms CN of NN Ni,       gCN-Ni-Ni,    surface curv,  0.2728,  0.2675,  0.0112,  0.0000, -0.3297,  0.0112,  0.0000, -0.3201
   surface curv,       gCN-Ni-Ni, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
rms CN of NN Ni,       gCN-Ni-Pt,    surface curv,  0.2707,  0.2647,  0.0095,  0.0000, -0.3607,  0.0097,  0.0000, -0.3540
   surface curv,       gCN-Ni-Pt, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,       gCN-Pt-Ni,  0.2596,  0.2539,  0.0000,  0.2185, -0.4745,  0.0000,  0.2165, -0.4650
rms CN of NN Ni,       gCN-Pt-Ni,    surface curv,  0.2629,  0.2571,  0.0149,  0.0000, -0.3901,  0.0149,  0.0000, -0.3824
   surface curv,       gCN-Pt-Ni, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,       gCN-Pt-Pt,  0.2484,  0.2453,  0.1426,  0.0863, -0.6824,  0.1793,  0.0837, -0.6667
rms CN of NN Ni,       gCN-Pt-Pt,    surface curv,  0.2611,  0.2552,  0.0045,  0.0000, -0.4011,  0.0045,  0.0000, -0.3928
   surface curv,       gCN-Pt-Pt, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
rms CN of NN Ni,        gCN-Ni-X,    surface curv,  0.2702,  0.2645,  0.0060,  0.0000, -0.3563,  0.0061,  0.0000, -0.3486
   surface curv,        gCN-Ni-X, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,        gCN-Pt-X,  0.2225,  0.2200,  0.1941,  0.1191, -0.9317,  0.2272,  0.1168, -0.9164
rms CN of NN Ni,        gCN-Pt-X,    surface curv,  0.2595,  0.2536,  0.0039,  0.0000, -0.4101,  0.0038,  0.0000, -0.4017
   surface curv,        gCN-Pt-X, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,           CN-Pt,  0.2279,  0.2249,  0.1161,  0.0990, -0.9569,  0.1515,  0.0974, -0.9438
rms CN of NN Ni,           CN-Pt,    surface curv,  0.2618,  0.2556,  0.0029,  0.0000, -0.4047,  0.0029,  0.0000, -0.3974
   surface curv,           CN-Pt, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0000,  1.0491, -1.3214
rms CN of NN Ni,  exp neg strain,    surface curv,  0.2734,  0.2670,  0.0115,  0.0000, -0.3646,  0.0123,  0.0000, -0.3609
